geracao,melhor_global,melhor_geracao,media_populacao
0,106718,106718,114059
1,72446,72446,77400.5
2,71854,71854,74945
3,70430,70430,74397.4
4,70430,70430,74042.3
5,70430,70430,74310.9
6,68628,68628,74435.9
7,68628,68628,74052.4
8,68628,68628,74291.6
9,68628,68628,74229.1
10,68628,68628,74639.2
11,68628,68628,74206.8
12,68628,68628,74060.3
13,68628,68628,74362.6
14,68628,68628,73818
15,68628,68628,74245.8
16,68628,68628,74226.7
17,68628,68628,73883.1
18,68628,68628,73579.4
19,68628,68628,74352.4
20,68628,68628,73999.6
21,68628,68628,74298.1
22,68628,68628,74034.2
23,68628,68628,74532.9
24,68628,68628,74265.1
25,68628,68628,74152.3
26,68628,68628,73777.6
27,68628,68628,74389.4
28,68628,68628,74167.4
29,68628,68628,74026.1
30,68628,68628,74266.8
31,68628,68628,74377
32,68628,68628,74382
33,68628,68628,74075.4
34,68628,68628,73913.3
35,68628,68628,74010
36,68628,68628,73774.7
37,68628,68628,74260.8
38,68628,68628,74025.5
39,68628,68628,74297.7
40,68628,68628,74542.3
41,68628,68628,74393.1
42,68628,68628,74453.6
43,68628,68628,74255.2
44,68628,68628,74367.1
45,68628,68628,74460.4
46,68628,68628,74000
47,68628,68628,74495.5
48,68628,68628,74279.5
49,68628,68628,74136.8
50,68628,68628,74529.5
51,68628,68628,73825
52,68628,68628,74086.8
53,68628,68628,74113.2
54,68628,68628,74450.7
55,68628,68628,74054.3
56,68628,68628,73826.6
