instancia,melhor_conhecido,execucao,seed,geracao_melhor,custo,gap_percentual,tempo_segundos
Teste_01.dat,557.44,1,408364944,4,596.93,7.084100,16.660835819
Teste_01.dat,557.44,2,3808847675,5,597.29,7.148700,17.858596531
Teste_01.dat,557.44,3,2281191804,3,594.76,6.694800,15.407330158
Teste_01.dat,557.44,4,2466786433,5,597.29,7.148700,17.877984093
Teste_01.dat,557.44,5,177545218,5,594.06,6.569300,15.375097430
Teste_01.dat,557.44,6,1818992110,5,597.29,7.148700,17.945667270
Teste_01.dat,557.44,7,3157543496,5,597.29,7.148700,17.862661370
Teste_01.dat,557.44,8,2581597738,7,596.93,7.084100,18.519170216
Teste_01.dat,557.44,9,4073186606,4,596.93,7.084100,17.632492675
Teste_01.dat,557.44,10,1468211848,4,597.29,7.148700,18.882330351
Teste_01.dat,557.44,11,3549776847,4,597.29,7.148700,18.756488680
Teste_01.dat,557.44,12,3329608087,7,594.76,6.694800,17.521742042
Teste_01.dat,557.44,13,1842634915,7,594.76,6.694800,16.006760777
Teste_01.dat,557.44,14,3483036097,3,596.95,7.087700,17.581003437
Teste_01.dat,557.44,15,3620571098,4,597.29,7.148700,19.379496496
Teste_01.dat,557.44,16,1456322792,6,594.76,6.694800,15.999735312
Teste_01.dat,557.44,17,4059803066,3,594.06,6.569300,17.176705429
Teste_01.dat,557.44,18,3016567639,5,597.29,7.148700,20.227773536
Teste_01.dat,557.44,19,27637360,3,596.93,7.084100,19.920590145
Teste_01.dat,557.44,20,246717214,4,597.29,7.148700,19.585441516
Teste_01.dat,557.44,21,3369779661,4,594.06,6.569300,15.907976914
Teste_01.dat,557.44,22,2742436430,5,595.73,6.868900,18.628902626
Teste_01.dat,557.44,23,863085555,5,596.93,7.084100,17.039051939
Teste_01.dat,557.44,24,2450343075,6,597.29,7.148700,18.534951286
Teste_01.dat,557.44,25,1327699971,4,597.29,7.148700,18.302464464
Teste_01.dat,557.44,26,2828730999,4,597.29,7.148700,18.265597590
Teste_01.dat,557.44,27,567462415,4,597.29,7.148700,18.439210527
Teste_01.dat,557.44,28,3086751962,6,597.29,7.148700,18.971288493
Teste_01.dat,557.44,29,2422128518,3,596.93,7.084100,17.372287940
Teste_01.dat,557.44,30,112385501,6,597.29,7.148700,18.586822613
Teste_02.dat,537.89,1,86049783,15,579.03,7.648400,25.967957071
Teste_02.dat,537.89,2,338571601,5,537.89,0,28.187328588
Teste_02.dat,537.89,3,273070649,11,579.03,7.648400,26.035775367
Teste_02.dat,537.89,4,583337136,3,578.72,7.590700,23.857482456
Teste_02.dat,537.89,5,2550687167,8,579.03,7.648400,26.594164676
Teste_02.dat,537.89,6,2294061081,5,577.25,7.317400,27.962188287
Teste_02.dat,537.89,7,1175943664,6,578.72,7.590700,25.516933540
Teste_02.dat,537.89,8,509753111,4,577.25,7.317400,29.548698322
Teste_02.dat,537.89,9,2552549352,9,578.69,7.585100,26.269076001
Teste_02.dat,537.89,10,2767646503,9,577.25,7.317400,28.876687365
Teste_02.dat,537.89,11,497326942,7,577.25,7.317400,27.470809084
Teste_02.dat,537.89,12,725900136,8,580.45,7.912300,27.542610730
Teste_02.dat,537.89,13,292188537,11,578.72,7.590700,24.181091302
Teste_02.dat,537.89,14,2107048355,8,578.69,7.585100,28.015868563
Teste_02.dat,537.89,15,727463991,8,577.25,7.317400,28.152322298
Teste_02.dat,537.89,16,113263323,11,579.03,7.648400,26.182343227
